Date,Username,Password,Nickname,Score,PlayerLevel,LevelPoint
2025-03-18,test1,test1,test1,1,18,0
2025-03-18,test2,test2,test2,2,18,0
2025-03-18,test3,test3,test3,3,18,0
2025-03-18,test4,test4,test4,4,18,0
2025-03-18,test5,test5,test5,5,18,0
2025-03-18,test6,test6,test6,6,18,0
2025-03-18,test7,test7,test7,7,18,0
2025-03-18,test8,test8,test8,8,18,0
2025-03-18,test9,test9,test9,9,18,0
2025-03-18,test10,test10,test10,9,18,0
2025-03-18,test11,test11,test11,10,18,0
2025-03-18,test12,test12,test12,10,18,0
2025-03-20,asdf,asdf,asdf,0,18,0
2025-03-24,asdf1,asdf1,asdf1,0,18,0
2025-03-25,qwer,qwer,qwer,0,18,0
2025-03-26,zxcv,zxcv,zxcv,0,18,0
2025-03-28,OJUN,123,123,0,18,0
2025-03-28,ojun,1234,1234,0,18, 0
2025-03-28,ojun98,1234,ojun98,0,18, 0
2025-03-28,ojun1234,1234,ojun1234,0,18, 0
2025-03-28,OJUN1234,1234,OJUN1234,0,18, 0
