Date,Username,Password,Nickname,Score,PlayerLevel,LevelPoint
<<<<<<< Updated upstream
2025-03-18,test1,test1,test1,1,0,0
2025-03-18,test2,test2,test2,2,0,0
2025-03-18,test3,test3,test3,3,0,0
2025-03-18,test4,test4,test4,4,0,0
2025-03-18,test5,test5,test5,5,0,0
2025-03-18,test6,test6,test6,6,0,0
2025-03-18,test7,test7,test7,7,0,0
2025-03-18,test8,test8,test8,8,0,0
2025-03-18,test9,test9,test9,9,0,0
2025-03-18,test10,test10,test10,10,0,0
=======
2025-03-18,test1,test1,test1,1,18,0
2025-03-18,test2,test2,test2,2,18,0
2025-03-18,test3,test3,test3,3,18,0
2025-03-18,test4,test4,test4,4,18,0
2025-03-18,test5,test5,test5,5,18,0
2025-03-18,test6,test6,test6,6,18,0
2025-03-18,test7,test7,test7,7,18,0
2025-03-18,test8,test8,test8,8,18,0
2025-03-18,test9,test9,test9,9,18,0
2025-03-18,test10,test10,test10,10,18,0
>>>>>>> Stashed changes
